Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (A),Sun Angle (degrees)
64.457,29.293,27.311,8.118,1.195,7.2
64.683,29.293,27.311,8.138,1.235,0
64.904,29.293,27.311,8.138,1.225,-7.2
65.132,30.265,27.311,8.128,1.225,-14.4
65.259,28.251,26.712,8.128,1.235,-21.6
65.341,29.644,28.089,8.128,1.225,-21.6
65.447,29.293,27.311,8.128,1.225,-21.6
65.673,29.293,27.397,8.138,1.235,-21.6
66.029,29.381,27.397,8.108,1.076,-14.4
66.251,28.51,27.397,8.108,1.255,0
66.359,29.293,27.397,8.098,1.255,7.2
66.441,29.293,27.397,8.118,1.255,7.2
66.567,29.293,27.397,8.098,1.355,7.2
66.659,29.293,27.397,8.098,1.255,7.2
66.874,29.293,27.397,8.118,1.255,7.2
67.092,29.293,27.397,8.138,1.235,0
67.209,29.293,27.397,8.118,1.016,-7.2
67.433,29.381,26.542,8.118,1.225,-7.2
67.66,29.293,26.712,8.088,1.245,0
68.122,29.293,27.397,7.999,1.136,7.2
68.345,29.293,27.397,8.108,1.365,0
68.552,29.293,27.397,8.646,1.733,-7.2
68.663,29.206,26.542,8.128,1.225,-14.4
68.787,29.293,27.397,8.128,1.225,-14.4
68.874,29.293,27.569,8.118,1.225,-14.4
69.092,29.293,27.397,8.128,1.225,-14.4
69.207,29.293,27.397,8.108,1.225,-7.2
69.334,29.293,27.397,8.726,1.853,-7.2
69.417,29.293,27.397,8.108,1.245,-7.2
69.525,29.293,26.712,8.098,1.255,-7.2
69.752,29.031,26.712,8.108,1.255,-7.2
69.848,29.293,27.483,8.128,1.375,-14.4
69.972,29.293,27.483,8.357,1.454,-14.4
70.067,29.293,27.483,8.128,1.215,-14.4
70.182,29.206,26.797,8.118,1.225,-14.4
70.291,29.293,27.483,8.138,1.235,-14.4
70.406,29.293,27.483,8.128,1.375,-14.4
70.489,29.293,27.569,8.128,1.235,-14.4
70.726,29.293,27.483,8.278,1.365,-14.4
70.835,29.293,27.483,8.108,1.245,-7.2
70.929,29.293,27.483,8.118,1.245,-7.2
71.043,29.293,27.483,8.606,1.733,-7.2
71.159,29.293,27.483,8.716,1.843,-7.2
71.366,29.293,27.483,8.098,1.255,-7.2
71.592,29.293,27.569,8.128,1.235,-14.4
71.698,29.381,26.712,8.108,1.245,-7.2
71.928,29.381,27.483,8.108,1.106,-7.2
72.518,29.293,27.483,8.108,1.245,0
75.779,29.293,27.483,8.108,1.255,0
76.112,29.293,27.483,8.098,1.175,0
78.053,29.293,27.483,8.078,1.215,0
78.276,29.293,27.569,8.098,1.006,0
78.497,29.293,27.569,8.098,1.245,7.2
78.723,29.293,27.569,8.098,0.976,14.4
78.814,29.293,27.569,8.108,1.255,21.6
78.943,29.293,27.569,8.088,1.245,21.6
79.026,29.293,27.569,8.098,1.245,21.6
79.133,29.293,27.569,8.098,1.245,21.6
79.249,29.293,27.569,8.098,1.155,21.6
79.359,29.293,27.569,8.098,1.255,21.6
79.566,29.293,27.569,8.686,1.823,21.6
79.662,30.354,27.569,8.098,1.245,28.8
79.776,29.293,27.569,8.088,1.235,28.8
79.886,29.293,27.569,8.118,1.255,28.8
79.969,29.293,27.569,8.118,1.255,28.8
80.193,29.293,27.569,8.098,1.255,28.8
80.284,29.293,27.569,8.118,1.225,21.6
80.402,29.293,26.883,8.118,1.235,21.6
80.508,29.031,26.883,8.108,1.225,21.6
80.621,29.293,27.569,8.128,1.225,21.6
80.706,29.293,27.569,8.278,1.365,21.6
80.829,29.293,27.569,8.128,1.235,21.6
81.041,29.293,27.569,8.108,1.235,21.6
81.266,29.293,27.569,8.228,1.335,14.4
81.49,29.293,27.569,8.128,1.235,7.2
81.714,29.293,27.569,8.367,1.464,0
81.934,29.293,27.569,8.407,1.544,7.2
82.16,29.293,27.569,8.098,1.076,14.4
82.253,29.293,27.569,8.108,1.215,7.2
82.379,29.293,26.968,8.118,1.235,7.2
82.465,29.293,27.569,8.118,1.235,7.2
82.684,29.206,27.569,8.118,1.235,7.2
82.911,29.293,27.569,8.108,1.235,0
83.13,30.265,27.569,8.118,1.235,-7.2
83.359,29.293,27.569,8.198,1.245,-14.4
83.583,29.293,27.569,8.198,1.265,-7.2
83.809,29.293,27.569,8.606,1.673,0
84.031,30.087,27.569,8.178,1.265,7.2
84.121,29.293,27.569,8.168,1.265,14.4
84.234,30.087,27.655,8.178,1.265,14.4
84.447,29.293,27.569,8.178,1.116,14.4
84.539,29.293,27.655,8.188,1.255,7.2
84.648,29.293,27.655,8.188,1.096,7.2
84.762,29.293,27.655,8.198,1.255,7.2
84.974,29.293,27.655,8.198,1.265,7.2
85.198,30.087,27.655,8.188,1.245,0
85.422,29.293,27.655,8.387,1.434,-7.2
85.64,29.293,27.655,8.168,1.265,0
85.865,29.293,27.655,8.168,1.414,7.2
86.094,29.733,27.655,8.158,1.265,14.4
86.32,29.293,27.915,8.168,1.245,7.2
86.543,29.293,28.35,8.178,1.245,0
86.766,29.293,27.655,8.178,1.235,-7.2
86.985,29.293,27.655,8.168,1.265,0
87.212,29.293,27.655,8.278,1.365,7.2
87.436,29.293,27.655,8.158,1.245,14.4
87.656,29.293,27.655,8.168,1.245,7.2
87.883,29.031,27.054,8.158,1.245,0
88.104,29.293,27.655,8.158,1.245,-7.2
88.333,29.293,27.655,8.606,1.673,-14.4
89.046,29.293,27.742,8.168,1.245,-21.6
89.253,29.293,27.742,8.128,1.385,0
89.482,29.293,27.742,8.138,1.235,-7.2
89.709,29.293,27.742,8.009,1.096,-14.4
89.931,29.293,28.263,8.148,1.245,-21.6
90.154,29.206,27.655,8.138,1.235,-28.8
90.867,29.293,27.742,8.138,1.046,-36
91.094,29.293,27.742,8.118,1.026,0
91.323,29.206,27.742,8.128,1.235,-7.2
91.549,29.293,27.742,8.606,1.693,-14.4
91.767,29.293,27.828,8.387,1.524,-7.2
91.993,29.206,27.828,8.118,1.255,0
92.218,29.206,27.828,8.138,1.235,-7.2
92.442,29.206,27.828,8.118,1.255,0
92.643,29.293,27.828,8.108,1.265,0
92.874,29.293,28.613,8.128,1.235,-7.2
93.092,29.206,27.139,8.128,1.235,-14.4
93.319,29.293,27.828,8.108,1.315,0
93.545,29.293,27.828,8.118,1.235,-7.2
93.77,29.293,28.263,8.098,1.255,0
93.992,29.293,27.828,8.128,1.116,-7.2
94.199,29.293,27.828,8.278,1.404,0
94.418,29.293,27.828,8.108,1.235,0
94.642,29.293,27.828,8.128,1.245,-7.2
94.866,29.293,27.828,8.128,1.225,-14.4
95.092,29.293,27.828,8.128,1.026,-21.6
