Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (A),Sun Angle (degrees)
1266.3,37.234,32.608,8.995,1.693,64.8
1266.4,37.131,32.987,8.746,0.09,64.8
1266.5,37.337,32.987,8.188,1.285,64.8
1266.6,37.131,33.082,8.198,0.299,64.8
1266.7,37.131,33.082,8.487,1.454,64.8
1266.8,37.337,33.082,8.178,0.339,64.8
1267,37.131,33.177,8.188,1.175,64.8
1267,37.131,33.177,8.347,1.404,64.8
1267.2,37.131,33.273,9.074,1.713,64.8
1267.3,36.925,33.273,8.178,1.275,64.8
1267.4,37.131,33.368,8.417,1.444,64.8
1267.5,37.131,33.368,8.218,1.275,64.8
1267.6,36.013,32.892,8.178,1.275,64.8
1267.7,37.131,33.368,8.686,1.803,64.8
1267.8,37.131,33.464,8.387,1.325,64.8
1267.9,37.131,33.464,8.268,1.315,64.8
1268,37.234,33.464,8.337,0.697,64.8
1268.1,37.131,33.464,8.646,1.534,64.8
1268.2,37.131,33.464,9.204,1.903,64.8
1268.3,37.028,33.273,8.178,1.275,64.8
1268.4,37.131,33.464,8.188,1.175,64.8
1268.5,37.131,33.464,8.527,0.299,64.8
1268.6,37.131,33.464,9.114,1.793,64.8
1268.7,37.131,33.368,8.198,1.175,64.8
1268.8,37.131,33.464,8.367,0.857,64.8
1268.9,37.131,33.464,8.407,0.438,64.8
1269,37.131,33.464,8.178,1.275,64.8
1269.1,37.131,33.464,8.427,1.444,64.8
1269.2,37.131,33.464,8.198,0.687,64.8
1269.3,37.131,33.464,8.178,1.255,64.8
1269.4,37.131,33.464,8.278,0.787,64.8
1269.5,37.131,33.464,9.244,1.932,64.8
1269.7,37.131,33.464,8.387,1.404,64.8
1269.7,37.131,33.56,8.586,1.514,64.8
1269.9,37.131,33.56,8.357,0.578,64.8
1269.9,37.131,33.56,8.238,1.295,64.8
1270.1,37.131,33.56,8.178,1.275,64.8
1270.1,37.131,33.657,8.218,1.275,64.8
1270.2,37.131,32.42,8.208,1.275,64.8
1270.4,37.131,33.657,8.387,1.385,64.8
1270.5,37.131,33.657,8.815,1.375,64.8
1270.6,37.131,33.753,8.337,0.637,64.8
1270.7,37.131,33.753,8.278,0.379,64.8
1270.8,37.131,33.947,8.178,1.275,64.8
1270.9,37.131,33.85,8.337,1.325,64.8
1271,37.131,33.85,8.188,0.528,64.8
1271.1,36.013,34.926,8.985,1.713,64.8
1271.2,36.823,33.85,8.357,1.006,64.8
1271.3,37.131,34.532,8.198,0.09,64.8
1271.4,36.518,33.947,8.546,1.494,64.8
1271.5,37.131,33.947,8.178,1.275,64.8
1271.6,37.131,34.044,8.198,1.275,64.8
1271.7,37.131,34.044,8.188,0.518,64.8
1271.8,37.234,34.141,8.178,0.677,64.8
1271.9,37.234,34.141,8.198,0.418,64.8
1272,36.518,34.141,8.576,0.199,64.8
1272.1,37.441,34.141,9.134,1.853,64.8
1272.2,37.234,34.238,8.178,1.275,64.8
1272.3,37.234,34.336,8.198,1.265,64.8
1272.4,37.234,35.025,8.686,1.793,64.8
1272.5,37.131,33.85,8.178,1.275,64.8
1272.6,38.384,34.336,8.447,1.026,64.8
1272.8,37.234,34.238,9.035,1.813,64.8
1272.8,37.234,34.434,8.307,0.767,64.8
1273,36.925,34.434,8.228,1.305,64.8
1273,37.649,34.434,8.606,1.086,64.8
1273.2,37.234,34.238,8.397,0.418,64.8
1273.3,37.234,34.532,8.178,1.275,64.8
1273.4,38.173,34.434,8.188,1.265,64.8
1273.5,37.234,34.63,8.188,0.538,64.8
1273.6,37.962,34.63,8.636,1.524,64.8
1273.7,37.234,34.63,8.178,1.275,64.8
1273.8,35.813,34.532,8.198,1.275,64.8
1273.9,37.234,34.63,8.218,1.325,64.8
1274,37.234,36.028,8.178,1.275,64.8
1274.1,37.234,34.63,8.228,1.165,64.8
1274.2,37.234,34.728,8.616,1.654,64.8
1274.3,37.234,34.63,8.955,1.056,64.8
1274.4,36.925,34.63,8.317,1.365,64.8
1274.5,37.234,34.63,9.224,1.773,64.8
1274.6,37.234,34.63,8.377,1.395,64.8
1274.7,37.234,34.728,8.178,1.275,64.8
1274.8,37.234,34.827,9.005,1.713,64.8
1274.9,37.234,34.728,8.367,1.395,64.8
1275,37.234,34.728,8.576,0.468,64.8
1275.1,37.234,34.728,8.198,0.07,64.8
1275.2,37.234,34.827,8.188,0.538,64.8
1275.3,37.234,34.827,8.995,1.663,64.8
1275.4,37.234,34.827,8.188,1.285,64.8
1275.6,37.234,34.926,8.387,1.395,64.8
1275.6,37.234,34.926,8.278,0.687,64.8
1275.8,37.649,34.926,8.178,0.817,64.8
1275.8,37.234,34.044,8.427,1.424,64.8
1275.9,36.925,34.926,8.606,1.484,64.8
1276,37.234,35.025,8.467,0.369,64.8
1276.1,36.013,35.025,8.188,1.285,64.8
1276.3,37.234,35.025,8.188,1.275,64.8
1276.4,37.234,35.025,8.457,1.375,64.8
1276.5,38.173,35.124,8.178,1.275,64.8
1276.6,37.234,35.124,9.084,1.743,64.8
1276.7,37.234,34.336,9.114,1.763,64.8
1276.8,37.753,35.224,8.248,1.305,64.8
1276.9,37.234,35.224,8.327,0.677,64.8
1277,37.234,35.224,8.477,0.199,64.8
1277.1,37.337,35.224,8.198,0.339,64.8
1277.2,37.234,35.323,8.178,1.275,64.8
1277.3,36.721,35.323,8.238,1.305,64.8
1277.4,37.234,35.323,8.337,1.325,64.8
1277.5,37.234,35.323,8.915,1.634,64.8
1277.6,36.721,35.423,8.377,1.395,64.8
1277.7,36.823,35.423,8.427,1.444,64.8
1277.8,37.234,35.423,9.134,1.703,64.8
1277.9,37.441,34.926,8.188,1.285,64.8
1278,37.337,35.524,8.427,1.464,64.8
1278.1,37.234,36.95,8.417,1.424,64.8
1278.2,37.337,35.524,8.178,1.295,64.8
1278.3,37.544,34.336,8.407,1.414,64.8
1278.4,37.028,35.524,8.297,0.687,64.8
1278.5,37.337,35.524,9.164,1.823,64.8
1278.6,37.337,35.524,8.208,1.295,64.8
1278.7,36.721,35.624,8.636,1.524,64.8
1278.8,37.337,37.054,8.407,1.404,64.8
1278.9,37.337,35.624,8.178,1.275,64.8
1279,37.337,35.624,8.278,1.325,64.8
1279.2,37.337,35.624,9.064,1.853,64.8
1279.2,37.337,35.624,8.616,1.504,64.8
1279.4,37.337,35.926,8.188,1.285,64.8
1279.5,36.925,35.725,8.596,0.199,64.8
1279.6,37.337,35.725,8.248,1.305,64.8
1279.7,36.518,35.825,8.178,1.275,64.8
1279.8,37.337,37.262,9.035,1.793,64.8
1279.9,37.337,35.323,8.188,1.295,64.8
1280,37.337,35.825,9.164,1.903,64.8
1280.1,36.721,35.926,8.208,1.285,64.8
1280.2,37.337,35.926,8.477,1.444,64.8
1280.3,37.337,35.926,8.198,0.438,64.8
1280.4,37.337,37.471,8.178,1.275,64.8
1280.5,37.337,35.926,8.427,0.867,64.8
1280.6,37.337,36.028,8.228,1.285,64.8
1280.7,37.337,36.028,8.427,0.259,64.8
1280.8,37.028,36.028,8.357,1.355,64.8
1280.9,37.337,36.028,8.606,1.654,64.8
1281,36.823,36.028,8.228,0.239,64.8
1281.1,36.925,36.028,8.178,1.275,64.8
1281.2,37.649,35.025,8.736,1.564,64.8
1281.3,37.337,36.129,8.447,1.484,64.8
1281.4,38.067,34.926,9.174,1.952,64.8
1281.5,37.337,36.129,8.278,0.647,64.8
1281.6,37.337,36.129,9.323,2.052,64.8
1281.8,38.067,36.129,8.656,1.504,64.8
1281.8,37.649,36.231,8.178,1.275,64.8
1281.9,37.337,36.231,8.427,0.488,64.8
1282,37.337,37.262,8.188,1.275,64.8
1282.2,37.337,36.231,8.606,1.136,64.8
1282.2,37.131,36.231,8.198,1.275,64.8
1282.3,38.597,36.129,8.905,1.484,64.8
1282.5,36.013,36.129,8.228,1.295,64.8
1282.6,37.337,36.028,8.178,1.275,64.8
1282.7,36.518,36.028,8.218,1.195,64.8
1282.8,37.337,35.926,9.323,2.002,64.8
1282.9,37.131,36.744,8.178,1.136,64.8
1283,37.337,36.435,9.054,1.793,64.8
1283.1,38.173,35.825,8.218,1.205,64.8
1283.2,37.337,35.725,9.045,1.733,64.8
1283.3,37.337,35.624,8.208,1.295,64.8
1283.4,37.337,35.624,8.188,1.245,64.8
1283.5,37.337,34.044,9.035,1.783,64.8
1283.6,37.337,35.423,8.178,1.275,64.8
1283.7,37.753,34.728,8.367,1.395,64.8
1283.8,37.337,35.423,8.317,1.325,64.8
1283.9,37.337,35.323,8.208,0.02,64.8
1284,37.337,35.323,8.686,1.544,64.8
1284.1,38.067,35.124,8.198,0.199,64.8
1284.2,37.337,35.323,8.427,1.474,64.8
1284.3,38.811,35.323,8.178,1.275,64.8
1284.4,37.337,35.323,8.427,1.454,64.8
1284.5,37.337,35.323,8.995,1.703,64.8
1284.6,36.315,35.323,8.228,1.295,64.8
1284.7,37.337,35.323,8.427,1.514,64.8
1284.9,37.337,36.744,8.218,1.285,64.8
1284.9,37.337,35.323,8.188,0.966,64.8
1285.1,38.811,34.434,8.178,1.275,64.8
1285.1,36.619,35.323,8.198,0.618,64.8
1285.3,37.337,36.028,8.248,1.305,64.8
1285.4,36.013,35.323,8.188,0.05,64.8
1285.5,36.416,35.323,8.307,1.295,64.8
1285.6,37.337,35.323,8.367,0.976,64.8
1285.7,36.518,35.323,8.238,1.305,64.8
1285.8,36.416,36.435,8.168,1.265,64.8
1285.9,37.337,35.423,9.164,1.873,64.8
1286,37.337,36.231,8.357,1.255,64.8
1286.1,37.337,35.423,8.855,1.464,64.8
1286.2,39.569,35.524,8.208,1.245,64.8
1286.3,37.337,35.524,8.487,1.454,64.8
1286.4,37.337,35.524,8.357,1.255,64.8
1286.5,37.337,35.524,8.178,1.275,64.8
1286.6,37.857,35.624,8.397,1.404,64.8
1286.7,37.337,35.624,8.377,0.239,64.8
1286.8,37.441,35.025,8.178,0.02,64.8
1286.9,37.337,35.725,8.596,1.514,64.8
1287,37.337,35.725,8.208,0.02,64.8
1287.1,37.337,35.725,8.218,1.205,64.8
1287.2,37.337,35.725,8.178,1.275,64.8
1287.3,37.131,35.725,8.198,1.285,64.8
1287.4,37.337,35.825,8.347,0.428,64.8
1287.5,37.649,35.825,8.178,1.255,64.8
1287.7,37.337,35.825,8.208,1.265,64.8
1287.7,37.234,34.532,8.198,0.349,64.8
1287.9,37.337,35.926,9.284,1.942,64.8
1287.9,36.518,35.926,8.218,1.305,64.8
1288.1,38.278,35.926,8.208,0.06,64.8
1288.2,37.337,35.323,8.756,1.494,64.8
1288.3,37.337,35.926,8.178,1.275,64.8
1288.4,36.518,35.926,8.387,0.379,64.8
1288.5,39.026,36.95,8.188,0.369,64.8
1288.6,38.918,35.926,8.596,1.663,64.8
1288.7,38.811,35.926,8.218,1.305,64.8
1288.8,37.028,35.825,8.397,1.414,64.8
1288.9,37.337,35.825,8.228,1.295,64.8
1289,37.337,35.725,8.178,0.737,64.8
1289.1,37.649,35.725,8.188,1.185,64.8
1289.2,37.337,35.624,8.467,1.444,64.8
1289.3,37.337,35.524,8.626,1.733,64.8
1289.4,37.337,35.524,8.178,1.275,64.8
1289.5,36.823,35.423,8.198,0.468,64.8
1289.6,37.337,35.423,8.606,0.159,64.8
1289.7,37.234,35.323,8.178,1.275,64.8
1289.8,37.337,35.323,8.626,1.076,64.8
1289.9,37.234,35.025,9.094,1.803,64.8
1290,37.337,35.224,8.198,1.175,64.8
1290.1,37.544,37.158,8.178,1.275,64.8
1290.2,37.234,35.124,8.447,1.076,64.8
1290.3,37.234,35.025,8.766,1.524,64.8
1290.5,37.234,35.025,8.178,1.275,64.8
1290.5,36.619,34.926,8.218,1.295,64.8
1290.6,37.234,34.926,8.427,1.355,64.8
1290.8,36.315,34.827,8.357,0.707,64.8
1290.8,37.234,34.827,9.274,1.962,64.8
1290.9,37.234,34.728,8.198,1.136,64.8
1291,37.234,34.728,8.357,1.046,64.8
1291.2,37.234,34.728,8.178,1.275,64.8
1291.3,37.234,34.63,8.268,1.315,64.8
1291.4,37.234,34.63,8.706,1.474,64.8
1291.5,37.234,34.63,8.875,1.444,64.8
1291.6,37.857,34.63,8.686,1.554,64.8
1291.7,37.234,34.63,8.278,1.195,64.8
1291.8,37.234,34.63,8.736,1.484,64.8
1291.9,37.234,36.028,8.178,1.275,64.8
1292,38.067,35.224,8.188,0.857,64.8
1292.1,37.234,34.827,9.005,1.733,64.8
1292.2,36.114,34.63,8.377,0.408,64.8
1292.3,36.114,35.224,8.188,1.165,64.8
1292.4,37.234,34.63,9.244,1.773,64.8
1292.5,37.234,34.532,8.228,1.285,64.8
1292.6,37.234,34.63,8.178,1.275,64.8
1292.7,38.811,34.532,8.746,1.494,64.8
1292.8,37.234,34.532,8.238,0.837,64.8
1292.9,37.131,34.336,8.945,1.673,64.8
1293,38.173,34.532,8.317,1.325,64.8
1293.1,37.234,34.434,9.084,1.683,64.8
1293.2,37.234,34.434,8.297,1.136,64.8
1293.3,37.234,34.63,8.188,1.285,64.8
1293.4,37.234,34.141,8.218,0.249,64.8
1293.6,37.234,34.336,9.244,1.922,64.8
1293.6,37.234,34.238,8.178,1.175,64.8
1293.8,37.234,34.238,8.427,1.454,64.8
1293.8,37.234,34.141,8.208,0.677,64.8
1294,36.925,34.141,8.995,1.743,64.8
1294.1,36.721,34.044,8.178,1.275,64.8
1294.2,37.131,34.044,8.208,1.265,64.8
1294.3,37.131,33.947,8.218,1.295,64.8
1294.4,37.131,33.947,8.178,1.275,64.8
1294.5,37.131,33.947,9.084,1.733,64.8
1294.6,37.131,33.85,8.228,1.155,64.8
1294.7,37.131,33.85,8.467,0.339,64.8
1294.8,37.131,33.753,8.188,1.285,64.8
1294.9,37.131,33.753,8.616,0.219,64.8
1295,37.131,33.753,8.467,0.259,64.8
1295.1,36.214,33.753,8.178,1.275,64.8
1295.2,37.131,33.657,8.268,1.315,64.8
1295.3,37.131,32.987,8.377,1.395,64.8
1295.4,38.173,33.657,8.447,0.946,64.8
1295.5,37.131,33.56,8.427,1.434,64.8
1295.6,37.131,34.532,8.188,1.126,64.8
1295.7,37.131,33.56,8.556,0.04,64.8
1295.8,37.131,33.56,8.178,1.275,64.8
1295.9,37.234,33.56,8.218,1.285,64.8
1296,37.131,33.464,8.347,1.335,64.8
1296.1,37.131,33.464,8.317,0.896,64.8
1296.2,37.234,32.326,9.154,1.873,64.8
1296.3,37.234,33.082,8.337,1.375,64.8
1296.4,37.131,33.368,8.596,0.159,64.8
1296.5,37.131,33.082,8.188,1.285,64.8
1296.7,37.131,33.273,8.188,0.219,64.8
1296.7,37.131,32.514,8.198,1.175,64.8
1296.9,37.234,32.232,8.178,1.275,64.8
1296.9,36.518,33.177,8.357,0.478,64.8
1297.1,37.131,33.177,8.666,1.514,64.8
1297.2,37.131,33.177,8.278,0.478,64.8
1297.3,38.597,33.177,8.746,1.574,64.8
1297.4,37.131,33.177,8.278,0.677,64.8
1297.5,37.131,33.082,9.064,1.723,64.8
1297.6,36.925,33.082,8.178,1.275,64.8
1297.7,37.962,33.082,8.198,1.235,64.8
1297.8,37.131,33.082,8.606,1.076,64.8
1297.9,37.131,32.987,8.198,0.04,64.8
1298,37.131,32.987,8.188,0.299,64.8
1298.1,37.131,32.987,8.606,1.086,64.8
1298.2,37.131,32.892,8.467,1.434,64.8
1298.3,36.925,32.892,8.188,1.285,64.8
1298.4,36.925,32.892,8.287,1.335,64.8
1298.5,37.131,32.892,8.855,1.434,64.8
1298.6,37.857,32.892,8.178,0.847,64.8
1298.7,37.234,31.859,9.264,2.022,64.8
1298.8,37.131,32.797,8.198,1.185,64.8
1298.9,37.131,32.797,8.417,0.498,64.8
1299,37.131,31.952,8.188,1.285,64.8
1299.1,37.131,32.797,8.636,1.474,64.8
1299.2,37.028,32.892,8.367,0.548,64.8
1299.3,37.649,32.797,8.178,1.275,64.8
1299.4,37.028,32.797,8.636,1.534,64.8
1299.5,37.028,32.797,9.074,1.703,64.8
1299.6,37.131,32.797,8.686,1.554,64.8
1299.8,37.753,32.797,8.507,1.474,64.8
1299.8,38.597,32.797,8.716,1.703,64.8
1300,37.028,32.797,8.427,1.474,64.8
1300,37.131,33.464,8.178,1.275,64.8
1300.2,37.131,32.797,8.198,0.309,64.8
1300.3,37.028,32.797,8.427,0.966,64.8
1300.4,37.131,32.797,8.457,0.299,64.8
1300.5,36.721,32.797,8.208,0.578,64.8
1300.6,37.131,32.797,8.238,1.295,64.8
1300.7,37.337,32.797,8.746,1.584,64.8
1300.8,37.028,32.797,8.178,1.275,64.8
1300.9,37.028,32.608,9.224,1.962,64.8
1301,37.028,32.797,8.218,1.205,64.8
1301.1,37.028,32.797,8.427,0.857,64.8
1301.2,37.234,32.232,8.228,0.269,64.8
1301.3,37.028,32.797,8.447,1.464,64.8
1301.4,37.028,32.797,9.304,1.982,64.8
1301.5,36.823,32.797,8.178,1.275,64.8
1301.6,37.028,32.797,8.636,0.129,64.8
1301.7,37.028,32.892,8.208,1.275,64.8
1301.8,37.028,32.797,8.178,1.255,64.8
1301.9,37.028,32.797,8.825,1.464,64.8
1302,38.597,33.85,8.188,1.175,64.8
1302.1,38.597,32.797,8.218,1.295,64.8
1302.2,37.028,32.797,8.198,1.295,64.8
1302.3,37.028,33.947,8.417,0.608,64.8
1302.4,37.028,32.987,8.586,1.673,64.8
1302.5,37.028,32.797,8.178,1.275,64.8
1302.6,36.518,33.368,8.198,0.428,64.8
1302.7,37.028,32.797,8.487,1.066,64.8
1302.9,37.028,32.703,8.218,0.159,64.8
1302.9,37.028,32.046,8.238,1.315,64.8
1303.1,37.028,32.232,8.188,0.309,64.8
1303.2,37.028,32.703,8.307,0.936,64.8
1303.3,37.028,33.273,8.178,1.275,64.8
1303.4,35.913,32.703,8.248,1.305,64.8
1303.4,37.028,33.273,8.198,1.275,64.8
1303.6,36.721,32.703,8.178,0.309,64.8
1303.7,37.028,32.703,8.626,1.673,64.8
1303.8,37.028,31.767,8.407,0.418,64.8
1303.9,36.925,32.608,8.287,1.175,64.8
1304,37.028,33.368,8.178,1.275,64.8
1304.1,37.028,32.608,8.327,0.608,64.8
1304.2,37.028,32.046,8.726,1.395,64.8
1304.3,37.028,32.608,8.168,1.265,64.8
1304.4,37.028,32.514,9.114,1.823,64.8
1304.5,37.028,33.177,8.198,0.209,64.8
1304.6,37.028,32.608,8.278,1.265,64.8
1304.7,37.028,32.514,8.198,1.295,64.8
1304.8,37.028,32.326,8.387,1.404,64.8
1304.9,37.028,32.608,8.347,1.335,64.8
1305,37.028,32.608,8.168,1.265,64.8
1305.1,37.234,32.232,8.208,1.275,64.8
1305.2,36.925,33.56,8.198,1.275,64.8
1305.3,37.028,32.703,8.168,0.847,64.8
1305.4,38.067,32.514,8.188,1.265,64.8
1305.5,37.028,33.753,8.646,1.654,64.8
1305.6,37.028,32.703,8.317,0.877,64.8
1305.8,36.823,32.703,8.178,1.285,64.8
1305.8,37.028,32.703,8.726,1.683,64.8
1306,37.028,32.703,8.537,0.319,64.8
1306,37.028,32.703,8.168,1.265,64.8
1306.2,36.114,32.703,8.367,1.365,64.8
1306.3,37.028,32.703,8.178,1.285,64.8
1306.3,37.028,32.608,8.556,0.01,64.8
1306.5,37.028,32.608,8.457,1.454,64.8
1306.6,37.028,32.608,8.188,1.275,64.8
1306.7,36.925,32.608,8.556,1.165,64.8
1306.8,37.028,33.657,8.168,1.265,64.8
1306.9,36.013,32.514,8.188,1.275,64.8
1307,36.925,32.046,8.317,0.956,64.8
1307.1,36.925,32.514,8.766,1.335,64.8
1307.2,37.028,33.082,8.248,0.628,64.8
1307.3,36.823,31.859,8.228,1.295,64.8
1307.4,36.925,32.514,8.188,0.867,64.8
1307.5,37.131,31.952,8.188,1.285,64.8
1307.6,36.013,32.514,8.716,1.574,64.8
1307.7,36.925,33.464,8.596,1.524,64.8
1307.8,36.823,32.514,8.168,1.265,64.8
1307.9,36.925,33.657,8.297,0.578,64.8
1308,36.925,32.608,8.258,1.305,64.8
1308.1,38.067,32.608,8.377,0.289,64.8
1308.2,36.925,32.703,8.307,1.365,64.8
1308.3,36.925,32.703,8.397,1.404,64.8
1308.4,36.925,32.797,8.228,1.295,64.8
1308.5,36.925,32.797,8.168,1.275,64.8
1308.6,36.925,32.892,8.477,1.454,64.8
1308.7,36.925,32.703,8.736,1.484,64.8
1308.9,36.925,32.987,8.268,0.657,64.8
1308.9,37.234,33.56,9.174,1.903,64.8
1309.1,36.416,33.368,8.218,1.155,64.8
1309.1,36.925,33.082,8.407,0.896,64.8
1309.2,36.925,33.082,8.168,1.265,64.8
1309.4,36.925,33.177,8.218,1.295,64.8
1309.5,36.925,33.273,8.287,1.315,64.8
1309.6,38.067,32.608,8.915,1.683,64.8
1309.7,37.028,33.273,8.188,0.349,64.8
1309.8,37.028,33.273,8.427,0.926,64.8
1309.9,37.028,33.368,8.437,1.424,64.8
1310,36.823,33.368,8.178,1.275,64.8
1310.1,37.028,33.368,8.357,1.355,64.8
1310.2,37.028,33.464,8.776,0.12,64.8
1310.3,37.544,33.464,8.168,1.116,64.8
1310.4,37.028,33.56,8.596,1.524,64.8
1310.5,37.028,33.56,7.939,0.946,64.8
1310.6,36.823,33.56,8.238,1.305,64.8
1310.7,37.028,33.657,8.178,1.275,64.8
1310.8,37.028,33.657,8.945,1.544,64.8
1310.9,37.028,33.753,8.228,1.305,64.8
1311,37.028,33.753,8.168,1.265,64.8
1311.1,37.028,33.85,8.198,0.04,64.8
1311.2,37.028,33.85,8.178,0.458,64.8
1311.3,37.131,33.85,8.467,0.518,64.8
1311.4,37.234,33.85,8.188,1.275,64.8
1311.5,37.131,33.947,8.616,1.524,64.8
1311.6,37.028,33.947,8.985,1.614,64.8
1311.7,36.518,34.63,8.168,1.275,64.8
1311.8,37.131,34.044,8.467,1.444,64.8
1312,37.028,34.044,8.347,0.568,64.8
1312,37.131,34.044,8.397,0.438,64.8
1312.2,37.131,34.141,8.198,0.329,64.8
1312.3,36.518,34.141,8.218,1.205,64.8
1312.3,37.131,34.141,8.208,0.458,64.8
1312.5,37.028,33.56,8.178,1.275,64.8
1312.6,37.131,34.238,8.307,1.414,64.8
1312.7,37.131,34.238,8.477,1.534,64.8
1312.8,38.597,33.464,8.168,1.245,64.8
1312.9,37.131,34.336,8.407,1.335,64.8
1313,38.597,34.336,8.726,1.763,64.8
1313.1,37.131,34.336,8.248,0.558,64.8
1313.2,37.131,34.434,8.327,1.385,64.8
1313.3,37.131,34.434,8.995,1.614,64.8
1313.4,37.131,34.434,8.198,0.329,64.8
1313.5,37.028,34.434,8.168,1.275,64.8
1313.6,37.131,34.532,8.606,1.654,64.8
1313.7,37.028,34.532,8.805,1.584,64.8
1313.8,37.028,34.532,8.317,1.066,64.8
1313.9,37.028,34.532,8.417,1.444,64.8
1314,37.028,34.532,8.278,1.325,64.8
1314.1,36.518,34.532,8.317,1.355,64.8
1314.2,37.028,34.63,8.168,1.265,64.8
1314.3,37.028,34.63,8.198,1.265,64.8
1314.4,36.925,34.63,8.616,1.703,64.8
1314.5,36.925,34.63,9.563,2.181,64.8
1314.6,35.813,34.63,8.357,0.657,64.8
1314.7,37.649,34.63,8.417,1.345,64.8
1314.8,36.518,34.63,8.367,1.395,64.8
1314.9,36.823,34.63,8.168,1.275,64.8
1315.1,36.823,34.63,8.706,1.564,64.8
1315.1,36.823,34.63,8.178,0.657,64.8
1315.3,36.823,34.728,8.178,1.255,64.8
1315.4,36.823,34.63,8.278,1.305,64.8
1315.4,36.823,34.63,8.198,0.12,64.8
1315.6,36.823,34.728,8.537,1.644,64.8
1315.7,36.721,34.728,8.178,1.285,64.8
1315.8,36.721,34.728,8.656,1.723,64.8
1315.9,36.721,34.141,8.238,1.305,64.8
1316,36.721,34.728,8.168,1.136,64.8
1316.1,36.721,35.323,8.427,1.404,64.8
1316.2,36.721,35.423,8.736,1.574,64.8
1316.3,36.721,34.728,8.367,0.478,64.8
1316.4,36.518,34.728,8.228,1.315,64.8
1316.5,36.619,34.728,8.347,1.404,64.8
1316.6,36.619,34.728,8.337,1.066,64.8
1316.7,36.619,34.728,8.188,1.285,64.8
1316.8,36.619,34.532,8.188,0.498,64.8
1316.9,36.619,33.464,8.417,1.424,64.8
1317,36.619,34.728,8.168,1.275,64.8
1317.1,37.131,34.532,8.457,1.444,64.8
1317.2,36.518,35.423,8.188,1.126,64.8
1317.3,36.518,34.728,8.975,1.634,64.8
1317.4,36.518,34.141,8.616,1.524,64.8
1317.5,36.518,34.728,8.447,1.424,64.8
1317.6,36.518,34.728,8.636,1.534,64.8
1317.7,36.518,35.423,8.168,1.275,64.8
1317.8,36.518,34.926,8.198,1.265,64.8
1318,36.518,34.728,8.327,1.434,64.8
1318,38.173,34.728,8.696,1.534,64.8
1318.1,37.441,34.728,8.287,1.345,64.8
1318.2,36.518,34.728,9.204,1.952,64.8
1318.4,36.416,34.728,8.337,1.375,64.8
1318.4,36.416,34.827,8.168,1.275,64.8
1318.5,36.315,36.028,8.198,1.275,64.8
1318.7,36.416,34.728,8.616,1.524,64.8
1318.8,36.416,34.728,8.437,0.159,64.8
1318.9,36.416,34.728,8.676,1.554,64.8
1319,36.315,34.827,8.606,1.185,64.8
1319.1,37.753,34.827,8.397,1.414,64.8
1319.2,36.416,34.827,8.168,1.275,64.8
1319.3,36.416,34.728,8.188,1.265,64.8
1319.4,36.315,34.827,8.666,1.464,64.8
1319.5,36.315,34.827,9.264,1.903,64.8
1319.6,36.315,34.827,8.188,1.136,64.8
1319.7,36.315,34.827,8.447,1.066,64.8
1319.8,36.416,34.827,8.397,0.259,64.8
1319.9,36.214,34.827,8.178,1.285,64.8
1320,36.214,36.231,8.198,0.06,64.8
1320.1,36.214,34.926,8.188,1.275,64.8
1320.2,36.214,34.926,8.168,0.767,64.8
1320.3,36.114,34.926,8.218,1.285,64.8
1320.4,36.214,34.926,8.208,1.325,64.8
1320.5,36.214,34.926,8.885,1.474,64.8
1320.6,36.214,34.926,8.377,1.404,64.8
1320.7,36.214,34.926,8.218,1.195,64.8
1320.8,36.214,34.926,8.626,1.066,64.8
1320.9,35.12,35.025,8.168,1.275,64.8
1321.1,37.131,35.025,8.736,1.574,64.8
1321.1,36.214,35.025,8.317,1.086,64.8
1321.3,36.214,35.025,8.427,1.414,64.8
1321.3,37.544,35.025,8.676,1.554,64.8
1321.4,36.214,35.025,8.527,1.584,64.8
1321.6,36.214,35.025,9.164,1.225,64.8
1321.7,35.714,33.85,8.168,1.275,64.8
1321.8,36.114,35.025,8.178,0.966,64.8
1321.9,36.114,35.025,8.327,0.548,64.8
1322,36.114,35.224,9.244,1.893,64.8
1322.1,36.013,35.025,9.214,1.962,64.8
1322.2,36.114,35.025,8.726,1.763,64.8
1322.3,36.114,35.025,9.343,1.345,64.8
1322.4,35.614,35.025,8.178,1.275,64.8
1322.5,36.114,35.025,8.198,0.349,64.8
1322.6,36.013,35.025,8.278,0.478,64.8
1322.7,36.518,34.827,8.168,1.275,64.8
1322.8,36.013,35.025,8.278,1.325,64.8
1322.9,36.013,35.025,8.327,0.857,64.8
1323,36.114,35.025,9.244,1.992,64.8
1323.1,36.013,35.025,8.178,1.275,64.8
1323.2,36.214,35.025,8.188,1.255,64.8
1323.3,36.013,35.025,8.198,1.285,64.8
1323.4,36.013,35.025,8.168,1.275,64.8
1323.5,35.813,35.025,8.407,1.414,64.8
1323.6,36.013,35.025,8.656,1.454,64.8
1323.7,36.013,35.025,9.064,1.654,64.8
1323.8,35.813,35.025,8.218,1.295,64.8
1323.9,35.913,35.025,8.626,1.464,64.8
1324,34.924,35.025,8.367,1.395,64.8
1324.2,35.913,35.025,8.168,1.265,64.8
1324.2,35.913,35.025,8.905,1.544,64.8
